Roll.No,Item,Date,Location,F/L
CS22B2008,Earpods,31-03-2023,mess,L
CS22B1050,Earpods,28-03-2023,acads,L
CS20B1084,watch,29-03-2023,acads,L
EVD19I016,ID card,30-03-2023,sports,L
EC22B1039,mobile,31-03-2023,acads,L
CS21B1010,Earpods,17-03-2023,unknown,L
EC20B1060,Wallet,11-03-2023,acads,L
CS21B2007,Earpods,09-03-2023,unknown,L
EVD19I016,ID card,04-03-2023,sports,L
EDM19B050,Earphones,02-03-2023,library,L
ME20B1072,Spectacle,03-03-2023,mess,L
EC20B1030,Wallet,20-02-2023,unknown,L
ME20B1039,Earpods,08-02-2023,acads,L
EC22B1033,Earpods,03-02-2023,acads,L
ME20B2008,Umbrella,20-01-2023,acads,L
ME22B1061,Earpods,16-01-2023,sports,L
CS21B2030,Earpods,17-01-2023,hostel,L
ME20B2028,ID card,08-01-2023,unknown,L
EDM19B055,ID card,07-01-2023,sports,L
CED190I29,ID card,31-12-2022,hostel,L
CS22B1030,Earpods,12-12-2022,acads,L
CS22B1018,watch,30-11-2022,acads,L
EDM19B053,ID card,08-11-2022,sports,L
EC20B1048,ID card,27-11-2022,unknown,L
PHY19D001,keys,04-11-2022,hostel,L
CED19I027,Umbrella,27-10-2022,unknown,L
EC20B1031,Earpods,20-10-2022,unknown,L
CED19I030,ID card,16-10-2022,hostel,L
CED19I044,keys,06-10-2022,sports,L
EC20B1046,watch,22-09-2022,acads,L
EC20B1066,Laptop,20-09-2022,lab,L
MDM18B054,keys,09-09-2022,acads,L
CS20B1071,ID card,08-08-2022,hostel,L
CS21B1043,Umbrella,07-08-2022,hostel,L
EC20B1062,headphone,06-08-2022,hostel,L
MDM18I003,keys,06-08-2022,Mess,L
EC20B1062,headphone,05-08-2022,hostel,L
CS20B1027,mobile,04-08-2022,unknown,L
MPD18I022,headphone,27-07-2022,acads,L
CED19I020,ID card,26-07-2022,sports,L
EDM19B034,Spectacle,19-07-2022,unknown,L
EC21B1017,ID card,13-07-2022,sports,L
CS21B1078,Umbrella,08-07-2022,acads,L
